country,name,description,start_date,end_date,start_month,end_month,outcome,casualties,economic_damage (in millions)
Argentina,Flood,The Litoral region of Argentina underwent heavy rainstorms in the early autumn season of 2007. ,2007-03-01,2007-04-15,3,4,"Several major rivers to rise and/or overflow their banks, partly or completely flooded many towns and large cities, ruined a significant part of the crops in a wide region, and severely damaged the physical infrastructure",15,200
Argentina,Flood,"Between 1 and 3 April 2013, the northeastern section of Buenos Aires Province, Argentina, experienced several flash floods that claimed the lives of 101 people. ",2013-04-01,2013-04-03,4,4," The flooding was the result of extremely heavy rainfall and is said to be the worst flooding in La Plata's history. Three days of national mourning were declared on 3 April. Two days later, government benefits for flood victims were announced.",101,104
Argentina,Flood ,"Several locations in the northern Buenos Aires Province suffered flash floods in August 2015, caused by a record rain. ",2015-08-04,2015-09-05,8,9,"The Luján River, the Areco river and the Arrecifes River were the most affected. Three people died, and 11,000 had to evacuate their homes. The floods at the end of the Salado River neared 800,000 hectares.",3,0.0045
Argentina,Volcanic eruption,The 2011–2012 Puyehue-Cordón Caulle eruption was a volcanic eruption that began in the Puyehue-Cordón Caulle volcanic complex in Chile on 4 June 2011.,2011-06-04,2012-04-21,6,4,"At least 3,500 people were evacuated from nearby areas, while the ash cloud was blown across cities all around the Southern hemisphere, including Bariloche, Buenos Aires, Montevideo, Stanley, Porto Alegre, Cape Town, Hobart, Perth, Adelaide, Sydney, Melbourne, Wellington, Auckland and Port Moresby, forcing airlines to cancel hundreds of international and domestic flights and causing travel chaos.",0,2417
Argentina,Wildfire,"The 2020 Córdoba wildfires are a series of wildfires burning through the Córdoba Province in Argentina. 60,000 hectares (150,000 acres) are estimated to have been affected by the fires. 51 fires had been registered as of October 2020.[2] Residents of several towns had to be evacuated. At least two persons died as a consequence of the fires.",2020-09-26,2020-10-31,9,10,"Residents of several towns had to be evacuated. At least two persons died as a consequence of the fires. Provincial Justice started an investigation on the wildfires, suspecting they were started intentionally in some areas.",2,NA
Argentina,Wildfire,"The 2020 Delta del Paraná wildfires is a series of wildfires that are burning across the Delta del Paraná in Argentina, affecting mainly the Entre Ríos and Santa Fe provinces, but also Buenos Aires, including major cities as Rosario.",2020-02-01,2020-08-01,2,8,"As of August 2020, 90,000 hectares (220,000 acres) had burned, in over 8,000 detected fires. A 10 million pesos (US$137,934) daily cost was estimated.",0,0.137
Argentina,Winter storm,The July 2007 Argentine winter storm resulted from the interaction of an area of low pressure systems across central Argentina. This was the worst winter of Argentina in almost forty years.,2007-07-06,2007-07-09,7,7,"The cold snap advanced from the south towards the central zone of the country during Friday, July 6, continuing its displacement towards the north during Saturday, July 7 and Sunday, July 8.",46,0
Argentina,Locust swarm,The locusts first appeared in small areas in June 2015. This swarm is reported to be the largest within 60 years despite last year's swarm being reported four miles in length and two miles in height.,2015-06-01,2016-01-01,6,1," According to Argentina's agriculture agency’s chief of vegetative protection, said that it is impossible to eradicate the swarm, so they are focusing on minimizing the damage caused by it by sending out fumigators equipped with backpack sprayers to exterminate small pockets of young locusts that are still unable to fly. This method of extermination, however, is unable to wipe out pocket of locusts hidden in Argentina's large, dry forests. The swarm covers an area the size of 5,000 sq. km in Northern Argentina.",0,NA
Argentina,Earthquake,"The 2010 Salta earthquake occurred on February 27 in Salta Province, Argentina and had a magnitude of 6.3. ",2010-02-27,2010-02-27,2,2,"The damage was not great, but small buildings and slums were easily destroyed. The earthquake received little regional coverage, largely because the catastrophe in Chile, occurring a few hours earlier, garnered the most attention.",2,NA
Argentina,Flood,"Heavy rains that fell in the northern part of Salta province in north-eastern Argentina, coupled with rainfall in the upper basin of the Bermejo and Pilcomayo Rivers, caused a rise in water levels that flooded areas along the banks of the Pilcomayo River.",2018-01-31,2018-01-31,1,1,"Water levels far exceeded alert and evacuation levels, displacing more than 17,000 people and leaving 100 people isolated and incommunicado. Power outages and damage to main and rural roads were also reported.",0,NA
Canada,Wildfire,"A large wildfire burned through Slave Lake, Alberta, Canada and its surrounding area from Saturday, May 14, 2011 through Monday, May 16, 2011. ",2011-05-14,2011-05-16,5,5," The fire forced the complete evacuation of Slave Lake's 7,000 residents—considered the largest such displacement in the province's history at the time—to the nearby towns of Athabasca and Westlock, as well as the provincial capital of Edmonton. ",1,750
